file_id,file_name,local_file_name,exif_datetime,width,height
19TgHzZfF42HTe0G2FmqLkBrEhp8p1d8M,RESPARK_20200429_IMG0238.JPG,19TgHzZfF42HTe0G2FmqLkBrEhp8p1d8M__RESPARK_20200429_IMG0238.JPG,2020:05:17 13:22:57,2688,1504
19Y2C-XWvN8Tu-CA3Dom5G3tXoYSqOTqT,RESPARK_20200429_IMG0117.JPG,19Y2C-XWvN8Tu-CA3Dom5G3tXoYSqOTqT__RESPARK_20200429_IMG0117.JPG,2020:05:08 00:47:54,2688,1504
19_qf2gBBRdWH_9I9VsE_ZsbxxQjy04_y,RESPARK_20200429_IMG0237.JPG,19_qf2gBBRdWH_9I9VsE_ZsbxxQjy04_y__RESPARK_20200429_IMG0237.JPG,2020:05:17 04:32:36,2688,1504
19iSpRkXi2TX5yy1h01Ro8osEw5ZdFZ0b,RESPARK_20200429_IMG0013.JPG,19iSpRkXi2TX5yy1h01Ro8osEw5ZdFZ0b__RESPARK_20200429_IMG0013.JPG,2020:05:01 14:39:35,2688,1504
19rnqAeHt9E0kCGtqswCYRe5j7BmN_Wzz,RESPARK_20200429_IMG0114.JPG,19rnqAeHt9E0kCGtqswCYRe5j7BmN_Wzz__RESPARK_20200429_IMG0114.JPG,2020:05:08 00:43:50,2688,1504
1A3OA15-o0wOW7FyF4FEKukuT2lC6jLnK,RESPARK_20200429_IMG0282.JPG,1A3OA15-o0wOW7FyF4FEKukuT2lC6jLnK__RESPARK_20200429_IMG0282.JPG,2020:05:19 15:43:05,2688,1504
1AJBlQwYV4cMD_GVMhqmr3shLzRMJuJuA,RESPARK_20200429_IMG0271.JPG,1AJBlQwYV4cMD_GVMhqmr3shLzRMJuJuA__RESPARK_20200429_IMG0271.JPG,2020:05:19 14:52:37,2688,1504
1AVEPaZHtKolz1cuaNpLDrgSQX1orOLjh,RESPARK_20200429_IMG0160.JPG,1AVEPaZHtKolz1cuaNpLDrgSQX1orOLjh__RESPARK_20200429_IMG0160.JPG,2020:05:12 13:26:32,2688,1504
1AVvtXI2cB2p6vzFTsT8ejB5JPnwgKIOh,RESPARK_20200429_IMG0197.JPG,1AVvtXI2cB2p6vzFTsT8ejB5JPnwgKIOh__RESPARK_20200429_IMG0197.JPG,2020:05:15 22:47:45,2688,1504
1Aac9AyyRm0jSq_BM0vEd6NU3NOardwM4,RESPARK_20200429_IMG0250.JPG,1Aac9AyyRm0jSq_BM0vEd6NU3NOardwM4__RESPARK_20200429_IMG0250.JPG,2020:05:19 00:08:23,2688,1504
1AepTPEp5ErDz9JD2iES7FMCigCt7Bmog,RESPARK_20200429_IMG0094.JPG,1AepTPEp5ErDz9JD2iES7FMCigCt7Bmog__RESPARK_20200429_IMG0094.JPG,2020:05:07 02:19:47,2688,1504
1BDd9qzCwDC0dVES3ZZVYWB2UCkH4WMo,_RESPARK_20200429_IMG0076.JPG,1BDd9qzCwDC0dVES3ZZVYWB2UCkH4WMo___RESPARK_20200429_IMG0076.JPG,2020:05:05 13:22:33,2688,1504
1BPFL8f0DXoA_cDknepcSlK4lgHh-vrit,RESPARK_20200429_IMG0127.JPG,1BPFL8f0DXoA_cDknepcSlK4lgHh-vrit__RESPARK_20200429_IMG0127.JPG,2020:05:08 14:35:31,2688,1504
1BTLtLszf-6VMd9zvI0Vk73Hl9KGF6BlR,RESPARK_20200429_IMG0290.JPG,1BTLtLszf-6VMd9zvI0Vk73Hl9KGF6BlR__RESPARK_20200429_IMG0290.JPG,2020:05:20 15:18:05,2688,1504
1BXFRxFy1UO1u7P5XLEs2aNEoy1GU9Vxk,RESPARK_20200429_IMG0258.JPG,1BXFRxFy1UO1u7P5XLEs2aNEoy1GU9Vxk__RESPARK_20200429_IMG0258.JPG,2020:05:19 02:45:02,2688,1504
1BZ9majlYRD0_W3oOS1R58XMMXk8XJLDW,RESPARK_20200429_IMG0175.JPG,1BZ9majlYRD0_W3oOS1R58XMMXk8XJLDW__RESPARK_20200429_IMG0175.JPG,2020:05:15 04:34:12,2688,1504
1C2QIYGhxk366GIg4uQB2rOFdn5PRub6W,RESPARK_20200429_IMG0056.JPG,1C2QIYGhxk366GIg4uQB2rOFdn5PRub6W__RESPARK_20200429_IMG0056.JPG,2020:05:04 20:56:14,2688,1504
1C2iGw4ruR3lQ7L9nTKhVVC1lmeZmyGYm,RESPARK_20200429_IMG0254.JPG,1C2iGw4ruR3lQ7L9nTKhVVC1lmeZmyGYm__RESPARK_20200429_IMG0254.JPG,2020:05:19 02:12:01,2688,1504
1CBdthPDWBQOZO55M9K0pUdylXlDOjSQg,RESPARK_20200429_IMG0194.JPG,1CBdthPDWBQOZO55M9K0pUdylXlDOjSQg__RESPARK_20200429_IMG0194.JPG,2020:05:15 21:49:26,2688,1504
1CG18gDKy9oi8QmIWXGu-aSuclJip6Jox,RESPARK_20200429_IMG0136.JPG,1CG18gDKy9oi8QmIWXGu-aSuclJip6Jox__RESPARK_20200429_IMG0136.JPG,2020:05:08 21:32:49,2688,1504
1CPsad77YzBKttQSNdESLx6m7mtdnfoNK,RESPARK_20200429_IMG0086.JPG,1CPsad77YzBKttQSNdESLx6m7mtdnfoNK__RESPARK_20200429_IMG0086.JPG,2020:05:05 22:44:58,2688,1504
1CbAlxUhsA2Qzubf9YhU-pYScEGs9XUy9,RESPARK_20200429_IMG0193.JPG,1CbAlxUhsA2Qzubf9YhU-pYScEGs9XUy9__RESPARK_20200429_IMG0193.JPG,2020:05:15 21:49:23,2688,1504
1DCNBHCUd232CxhSuG0ifF7QjQ-e0g95F,RESPARK_20200429_IMG0111.JPG,1DCNBHCUd232CxhSuG0ifF7QjQ-e0g95F__RESPARK_20200429_IMG0111.JPG,2020:05:08 00:37:50,2688,1504
1DMiVXpmelIt5xQo-Swp0LQ5MK0VOE4FZ,RESPARK_20200429_IMG0187.JPG,1DMiVXpmelIt5xQo-Swp0LQ5MK0VOE4FZ__RESPARK_20200429_IMG0187.JPG,2020:05:15 21:41:21,2688,1504
